timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/29 18:58:49.222, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/03/29 18:58:59.223, 0 %, 0 %, 3 MiB, 46068 MiB, 31.74 W
2026/03/29 18:59:09.224, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 18:59:19.225, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 18:59:29.227, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 18:59:39.228, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 18:59:49.229, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 18:59:59.229, 0 %, 0 %, 3 MiB, 46068 MiB, 31.94 W
2026/03/29 19:00:09.230, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:00:19.231, 0 %, 0 %, 3 MiB, 46068 MiB, 31.74 W
2026/03/29 19:00:29.232, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:00:39.233, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:00:49.234, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:00:59.235, 0 %, 0 %, 3 MiB, 46068 MiB, 31.65 W
2026/03/29 19:01:09.236, 0 %, 0 %, 3 MiB, 46068 MiB, 32.15 W
2026/03/29 19:01:19.237, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 19:01:29.238, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:01:39.239, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:01:49.240, 0 %, 0 %, 3 MiB, 46068 MiB, 31.57 W
2026/03/29 19:01:59.241, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:02:09.241, 0 %, 0 %, 3 MiB, 46068 MiB, 31.68 W
2026/03/29 19:02:19.242, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
2026/03/29 19:02:29.243, 0 %, 0 %, 3 MiB, 46068 MiB, 31.59 W
2026/03/29 19:02:39.244, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:02:49.245, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:02:59.246, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/03/29 19:03:09.247, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:03:19.248, 0 %, 0 %, 3 MiB, 46068 MiB, 31.88 W
2026/03/29 19:03:29.249, 0 %, 0 %, 3 MiB, 46068 MiB, 31.82 W
2026/03/29 19:03:39.250, 0 %, 0 %, 3 MiB, 46068 MiB, 31.83 W
2026/03/29 19:03:49.251, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/03/29 19:03:59.252, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:04:09.253, 0 %, 0 %, 3 MiB, 46068 MiB, 31.60 W
2026/03/29 19:04:19.254, 0 %, 0 %, 3 MiB, 46068 MiB, 31.69 W
2026/03/29 19:04:29.255, 0 %, 0 %, 3 MiB, 46068 MiB, 31.75 W
2026/03/29 19:04:39.256, 0 %, 0 %, 3 MiB, 46068 MiB, 31.70 W
2026/03/29 19:04:49.257, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:04:59.258, 0 %, 0 %, 3 MiB, 46068 MiB, 31.78 W
2026/03/29 19:05:09.259, 0 %, 0 %, 3 MiB, 46068 MiB, 31.87 W
2026/03/29 19:05:19.260, 0 %, 0 %, 3 MiB, 46068 MiB, 31.86 W
2026/03/29 19:05:29.261, 0 %, 0 %, 3 MiB, 46068 MiB, 31.96 W
2026/03/29 19:05:39.262, 0 %, 0 %, 3 MiB, 46068 MiB, 31.59 W
2026/03/29 19:05:49.263, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
