timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/30 02:02:45.200, 0 %, 0 %, 0 MiB, 46068 MiB, 31.61 W
2026/03/30 02:02:55.201, 0 %, 0 %, 591 MiB, 46068 MiB, 80.09 W
2026/03/30 02:03:05.202, 29 %, 0 %, 621 MiB, 46068 MiB, 94.35 W
2026/03/30 02:03:15.203, 29 %, 0 %, 621 MiB, 46068 MiB, 94.92 W
2026/03/30 02:03:25.204, 30 %, 0 %, 621 MiB, 46068 MiB, 95.21 W
2026/03/30 02:03:35.205, 29 %, 0 %, 621 MiB, 46068 MiB, 95.53 W
2026/03/30 02:03:45.205, 30 %, 0 %, 621 MiB, 46068 MiB, 95.75 W
2026/03/30 02:03:55.206, 30 %, 0 %, 619 MiB, 46068 MiB, 95.88 W
2026/03/30 02:04:05.207, 29 %, 0 %, 619 MiB, 46068 MiB, 96.24 W
2026/03/30 02:04:15.208, 30 %, 0 %, 619 MiB, 46068 MiB, 96.44 W
2026/03/30 02:04:25.209, 30 %, 0 %, 619 MiB, 46068 MiB, 96.71 W
2026/03/30 02:04:35.210, 30 %, 0 %, 619 MiB, 46068 MiB, 96.90 W
2026/03/30 02:04:45.211, 30 %, 0 %, 619 MiB, 46068 MiB, 95.59 W
2026/03/30 02:04:55.212, 30 %, 0 %, 619 MiB, 46068 MiB, 97.07 W
2026/03/30 02:05:05.213, 29 %, 0 %, 619 MiB, 46068 MiB, 97.12 W
2026/03/30 02:05:15.214, 29 %, 0 %, 619 MiB, 46068 MiB, 97.20 W
2026/03/30 02:05:25.215, 30 %, 0 %, 619 MiB, 46068 MiB, 97.38 W
2026/03/30 02:05:35.216, 29 %, 0 %, 619 MiB, 46068 MiB, 97.66 W
2026/03/30 02:05:45.217, 30 %, 0 %, 619 MiB, 46068 MiB, 97.76 W
2026/03/30 02:05:55.218, 30 %, 0 %, 619 MiB, 46068 MiB, 97.89 W
2026/03/30 02:06:05.218, 30 %, 0 %, 619 MiB, 46068 MiB, 97.93 W
2026/03/30 02:06:15.219, 30 %, 0 %, 619 MiB, 46068 MiB, 97.89 W
2026/03/30 02:06:25.220, 30 %, 0 %, 619 MiB, 46068 MiB, 98.01 W
2026/03/30 02:06:35.222, 30 %, 0 %, 619 MiB, 46068 MiB, 97.99 W
2026/03/30 02:06:45.223, 30 %, 0 %, 619 MiB, 46068 MiB, 97.94 W
2026/03/30 02:06:55.224, 30 %, 0 %, 619 MiB, 46068 MiB, 98.08 W
2026/03/30 02:07:05.225, 30 %, 0 %, 619 MiB, 46068 MiB, 98.20 W
2026/03/30 02:07:15.226, 30 %, 0 %, 619 MiB, 46068 MiB, 98.14 W
2026/03/30 02:07:25.227, 30 %, 0 %, 619 MiB, 46068 MiB, 98.14 W
2026/03/30 02:07:35.228, 30 %, 0 %, 619 MiB, 46068 MiB, 98.10 W
2026/03/30 02:07:45.229, 30 %, 0 %, 619 MiB, 46068 MiB, 98.19 W
2026/03/30 02:07:55.230, 30 %, 0 %, 619 MiB, 46068 MiB, 98.25 W
2026/03/30 02:08:05.231, 30 %, 0 %, 619 MiB, 46068 MiB, 98.22 W
2026/03/30 02:08:15.232, 30 %, 0 %, 619 MiB, 46068 MiB, 98.12 W
2026/03/30 02:08:25.233, 30 %, 0 %, 619 MiB, 46068 MiB, 98.22 W
2026/03/30 02:08:35.233, 30 %, 0 %, 619 MiB, 46068 MiB, 98.27 W
2026/03/30 02:08:45.234, 30 %, 0 %, 619 MiB, 46068 MiB, 98.33 W
2026/03/30 02:08:55.235, 30 %, 0 %, 619 MiB, 46068 MiB, 98.27 W
2026/03/30 02:09:05.236, 30 %, 0 %, 619 MiB, 46068 MiB, 98.25 W
2026/03/30 02:09:15.237, 30 %, 0 %, 619 MiB, 46068 MiB, 97.28 W
2026/03/30 02:09:25.238, 30 %, 0 %, 619 MiB, 46068 MiB, 98.47 W
2026/03/30 02:09:35.239, 30 %, 0 %, 619 MiB, 46068 MiB, 98.37 W
2026/03/30 02:09:45.240, 30 %, 0 %, 619 MiB, 46068 MiB, 98.32 W
2026/03/30 02:09:55.241, 30 %, 0 %, 619 MiB, 46068 MiB, 98.30 W
2026/03/30 02:10:05.242, 29 %, 0 %, 619 MiB, 46068 MiB, 98.12 W
2026/03/30 02:10:15.243, 30 %, 0 %, 619 MiB, 46068 MiB, 98.24 W
2026/03/30 02:10:25.244, 30 %, 0 %, 619 MiB, 46068 MiB, 98.50 W
2026/03/30 02:10:35.245, 30 %, 0 %, 619 MiB, 46068 MiB, 98.32 W
