timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/24 07:39:10.965, 0 %, 0 %, 0 MiB, 46068 MiB, 32.01 W
2026/04/24 07:39:20.968, 0 %, 0 %, 0 MiB, 46068 MiB, 31.65 W
2026/04/24 07:39:30.969, 0 %, 0 %, 0 MiB, 46068 MiB, 32.27 W
2026/04/24 07:39:40.970, 0 %, 0 %, 0 MiB, 46068 MiB, 32.02 W
2026/04/24 07:39:50.971, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:40:00.971, 0 %, 0 %, 3 MiB, 46068 MiB, 31.90 W
2026/04/24 07:40:10.972, 0 %, 0 %, 3 MiB, 46068 MiB, 31.95 W
2026/04/24 07:40:20.973, 0 %, 0 %, 3 MiB, 46068 MiB, 31.84 W
2026/04/24 07:40:30.974, 0 %, 0 %, 3 MiB, 46068 MiB, 31.88 W
2026/04/24 07:40:40.975, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:40:50.976, 0 %, 0 %, 3 MiB, 46068 MiB, 32.26 W
2026/04/24 07:41:00.977, 0 %, 0 %, 3 MiB, 46068 MiB, 31.91 W
2026/04/24 07:41:10.978, 0 %, 0 %, 3 MiB, 46068 MiB, 32.02 W
2026/04/24 07:41:20.979, 0 %, 0 %, 3 MiB, 46068 MiB, 32.04 W
2026/04/24 07:41:30.980, 0 %, 0 %, 3 MiB, 46068 MiB, 32.01 W
2026/04/24 07:41:40.981, 0 %, 0 %, 3 MiB, 46068 MiB, 32.02 W
2026/04/24 07:41:50.982, 0 %, 0 %, 3 MiB, 46068 MiB, 31.77 W
2026/04/24 07:42:00.983, 0 %, 0 %, 3 MiB, 46068 MiB, 50.15 W
2026/04/24 07:42:10.983, 0 %, 0 %, 3 MiB, 46068 MiB, 31.72 W
2026/04/24 07:42:20.984, 0 %, 0 %, 3 MiB, 46068 MiB, 32.15 W
2026/04/24 07:42:30.985, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:42:40.986, 0 %, 0 %, 3 MiB, 46068 MiB, 32.14 W
2026/04/24 07:42:50.987, 0 %, 0 %, 3 MiB, 46068 MiB, 32.01 W
2026/04/24 07:43:00.988, 0 %, 0 %, 3 MiB, 46068 MiB, 32.27 W
2026/04/24 07:43:10.989, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:43:20.990, 0 %, 0 %, 3 MiB, 46068 MiB, 32.12 W
2026/04/24 07:43:30.991, 0 %, 0 %, 3 MiB, 46068 MiB, 31.76 W
2026/04/24 07:43:40.991, 0 %, 0 %, 3 MiB, 46068 MiB, 32.14 W
2026/04/24 07:43:50.992, 0 %, 0 %, 3 MiB, 46068 MiB, 32.12 W
2026/04/24 07:44:00.993, 0 %, 0 %, 3 MiB, 46068 MiB, 32.26 W
2026/04/24 07:44:10.994, 0 %, 0 %, 3 MiB, 46068 MiB, 32.15 W
2026/04/24 07:44:20.995, 0 %, 0 %, 3 MiB, 46068 MiB, 32.26 W
2026/04/24 07:44:30.996, 0 %, 0 %, 3 MiB, 46068 MiB, 32.01 W
2026/04/24 07:44:40.997, 0 %, 0 %, 3 MiB, 46068 MiB, 31.88 W
2026/04/24 07:44:50.998, 0 %, 0 %, 3 MiB, 46068 MiB, 31.86 W
2026/04/24 07:45:00.999, 0 %, 0 %, 3 MiB, 46068 MiB, 31.77 W
2026/04/24 07:45:10.999, 0 %, 0 %, 3 MiB, 46068 MiB, 32.15 W
2026/04/24 07:45:21.000, 0 %, 0 %, 3 MiB, 46068 MiB, 31.77 W
2026/04/24 07:45:31.001, 0 %, 0 %, 3 MiB, 46068 MiB, 32.03 W
2026/04/24 07:45:41.002, 0 %, 0 %, 3 MiB, 46068 MiB, 31.90 W
2026/04/24 07:45:51.003, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:46:01.004, 0 %, 0 %, 3 MiB, 46068 MiB, 31.89 W
2026/04/24 07:46:11.005, 0 %, 0 %, 3 MiB, 46068 MiB, 31.76 W
2026/04/24 07:46:21.006, 0 %, 0 %, 3 MiB, 46068 MiB, 31.88 W
2026/04/24 07:46:31.007, 0 %, 0 %, 3 MiB, 46068 MiB, 31.92 W
2026/04/24 07:46:41.007, 0 %, 0 %, 3 MiB, 46068 MiB, 32.10 W
