timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/24 07:39:10.976, 0 %, 0 %, 0 MiB, 46068 MiB, 25.68 W
2026/04/24 07:39:20.979, 0 %, 0 %, 0 MiB, 46068 MiB, 24.85 W
2026/04/24 07:39:30.980, 0 %, 0 %, 0 MiB, 46068 MiB, 25.35 W
2026/04/24 07:39:40.980, 0 %, 0 %, 0 MiB, 46068 MiB, 25.33 W
2026/04/24 07:39:50.981, 0 %, 0 %, 3 MiB, 46068 MiB, 26.11 W
2026/04/24 07:40:00.982, 0 %, 1 %, 3 MiB, 46068 MiB, 26.09 W
2026/04/24 07:40:10.983, 0 %, 0 %, 3 MiB, 46068 MiB, 25.74 W
2026/04/24 07:40:20.984, 0 %, 0 %, 3 MiB, 46068 MiB, 25.48 W
2026/04/24 07:40:30.985, 0 %, 0 %, 3 MiB, 46068 MiB, 26.45 W
2026/04/24 07:40:40.986, 0 %, 0 %, 3 MiB, 46068 MiB, 25.48 W
2026/04/24 07:40:50.987, 0 %, 0 %, 3 MiB, 46068 MiB, 25.11 W
2026/04/24 07:41:00.988, 0 %, 0 %, 3 MiB, 46068 MiB, 25.98 W
2026/04/24 07:41:10.989, 0 %, 0 %, 3 MiB, 46068 MiB, 25.48 W
2026/04/24 07:41:20.990, 0 %, 0 %, 3 MiB, 46068 MiB, 25.58 W
2026/04/24 07:41:30.991, 0 %, 0 %, 3 MiB, 46068 MiB, 25.93 W
2026/04/24 07:41:40.992, 0 %, 0 %, 3 MiB, 46068 MiB, 25.14 W
2026/04/24 07:41:50.993, 0 %, 0 %, 3 MiB, 46068 MiB, 24.96 W
2026/04/24 07:42:00.994, 0 %, 0 %, 3 MiB, 46068 MiB, 25.59 W
2026/04/24 07:42:10.995, 0 %, 0 %, 3 MiB, 46068 MiB, 23.62 W
2026/04/24 07:42:20.996, 0 %, 0 %, 3 MiB, 46068 MiB, 25.62 W
2026/04/24 07:42:30.997, 0 %, 0 %, 3 MiB, 46068 MiB, 24.73 W
2026/04/24 07:42:40.998, 0 %, 0 %, 3 MiB, 46068 MiB, 25.93 W
2026/04/24 07:42:50.999, 0 %, 0 %, 3 MiB, 46068 MiB, 23.37 W
2026/04/24 07:43:01.000, 0 %, 0 %, 3 MiB, 46068 MiB, 24.60 W
2026/04/24 07:43:11.001, 0 %, 0 %, 3 MiB, 46068 MiB, 26.44 W
2026/04/24 07:43:21.002, 0 %, 0 %, 3 MiB, 46068 MiB, 25.49 W
