timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/24 07:39:50.627, 0 %, 0 %, 0 MiB, 46068 MiB, 34.10 W
2026/04/24 07:40:00.630, 0 %, 0 %, 0 MiB, 46068 MiB, 32.96 W
2026/04/24 07:40:10.631, 0 %, 0 %, 3 MiB, 46068 MiB, 32.87 W
2026/04/24 07:40:20.632, 0 %, 0 %, 3 MiB, 46068 MiB, 32.90 W
2026/04/24 07:40:30.633, 0 %, 0 %, 3 MiB, 46068 MiB, 32.71 W
2026/04/24 07:40:40.634, 0 %, 0 %, 3 MiB, 46068 MiB, 33.24 W
2026/04/24 07:40:50.635, 0 %, 0 %, 3 MiB, 46068 MiB, 32.97 W
2026/04/24 07:41:00.636, 0 %, 0 %, 3 MiB, 46068 MiB, 32.75 W
2026/04/24 07:41:10.637, 0 %, 0 %, 3 MiB, 46068 MiB, 33.22 W
2026/04/24 07:41:20.638, 0 %, 0 %, 3 MiB, 46068 MiB, 33.08 W
2026/04/24 07:41:30.639, 0 %, 0 %, 3 MiB, 46068 MiB, 33.16 W
2026/04/24 07:41:40.640, 0 %, 0 %, 3 MiB, 46068 MiB, 32.74 W
2026/04/24 07:41:50.640, 0 %, 0 %, 3 MiB, 46068 MiB, 32.83 W
2026/04/24 07:42:00.641, 0 %, 0 %, 3 MiB, 46068 MiB, 72.61 W
2026/04/24 07:42:10.642, 0 %, 0 %, 3 MiB, 46068 MiB, 33.12 W
2026/04/24 07:42:20.643, 0 %, 0 %, 3 MiB, 46068 MiB, 33.08 W
2026/04/24 07:42:30.644, 0 %, 0 %, 3 MiB, 46068 MiB, 32.99 W
2026/04/24 07:42:40.645, 0 %, 0 %, 3 MiB, 46068 MiB, 32.99 W
2026/04/24 07:42:50.646, 0 %, 0 %, 3 MiB, 46068 MiB, 32.85 W
2026/04/24 07:43:00.647, 0 %, 0 %, 3 MiB, 46068 MiB, 33.13 W
2026/04/24 07:43:10.648, 0 %, 0 %, 3 MiB, 46068 MiB, 32.85 W
2026/04/24 07:43:20.649, 0 %, 0 %, 3 MiB, 46068 MiB, 33.21 W
2026/04/24 07:43:30.650, 0 %, 0 %, 3 MiB, 46068 MiB, 32.97 W
2026/04/24 07:43:40.651, 0 %, 0 %, 3 MiB, 46068 MiB, 32.96 W
2026/04/24 07:43:50.652, 0 %, 0 %, 3 MiB, 46068 MiB, 33.12 W
2026/04/24 07:44:00.653, 0 %, 0 %, 3 MiB, 46068 MiB, 32.99 W
